case_id,task,perturbation,perturbation_name,text,gold_route,predicted_route,gold_department,predicted_department,gold_risk,predicted_risk,gold_red_flags,predicted_red_flags,acceptable_doc_ids,evidence_doc_ids,evidence_citation_ids,evidence_departments,evidence_scores,abstained,followup_missing,latency_ms,error
HR0001,high_risk,0,P0 规范表达,患者描述：胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.065,
HR0002,high_risk,0,P0 规范表达,家属说刚才出现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.022,
HR0003,high_risk,0,P0 规范表达,我现在主要是胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.018,
HR0004,high_risk,0,P0 规范表达,症状记录为胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.015,
HR0005,high_risk,0,P0 规范表达,今天突然有胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.014,
HR0006,high_risk,0,P0 规范表达,目前最明显的是胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.014,
HR0007,high_risk,0,P0 规范表达,刚刚发现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.013,
HR0008,high_risk,0,P0 规范表达,需要分诊，表现为胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.022,
HR0009,high_risk,1,P1 口语与同义表达,患者描述：胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.014,
HR0010,high_risk,1,P1 口语与同义表达,家属说刚才出现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.013,
HR0011,high_risk,1,P1 口语与同义表达,我现在主要是胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.012,
HR0012,high_risk,1,P1 口语与同义表达,症状记录为胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.012,
HR0013,high_risk,1,P1 口语与同义表达,今天突然有胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.012,
HR0014,high_risk,1,P1 口语与同义表达,目前最明显的是胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.012,
HR0015,high_risk,1,P1 口语与同义表达,刚刚发现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.012,
HR0016,high_risk,1,P1 口语与同义表达,需要分诊，表现为胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.014,
HR0017,high_risk,2,P2 组合与背景干扰,患者描述：胸痛，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.015,
HR0018,high_risk,2,P2 组合与背景干扰,家属说刚才出现胸痛，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.015,
HR0019,high_risk,2,P2 组合与背景干扰,我现在主要是胸痛，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.015,
HR0020,high_risk,2,P2 组合与背景干扰,症状记录为胸痛，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.015,
HR0021,high_risk,2,P2 组合与背景干扰,今天突然有胸痛，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.015,
HR0022,high_risk,2,P2 组合与背景干扰,目前最明显的是胸痛，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.014,
HR0023,high_risk,2,P2 组合与背景干扰,刚刚发现胸痛，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.014,
HR0024,high_risk,2,P2 组合与背景干扰,需要分诊，表现为胸痛，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.017,
HR0025,high_risk,3,P3 否定与跨症状干扰,患者描述：开始没有呼吸困难，不过后来明确出现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.023,
HR0026,high_risk,3,P3 否定与跨症状干扰,家属说刚才出现开始没有气促，不过后来明确出现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.019,
HR0027,high_risk,3,P3 否定与跨症状干扰,我现在主要是开始没有咯血，不过后来明确出现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.018,
